"group_id","lang_code"
"491b2758-0992-4c58-8ee6-311b77a9232c","en"
"389daf1e-75bd-4d72-b5aa-0a46734db704","fr"
"32c17707-71b0-48d9-a384-61b0248eb273","pt-br"
"86e0a23b-a188-43e1-8e23-584a7692bfa5","en"
"1e0b48bc-4394-4056-aea1-d739980ea9e7","en"
"beffb8d7-efd2-45f6-8b2f-978a92acb32b","ru"
"b65244a8-6e82-47dd-aa17-5c288b3c0343","en"
"0d7f1a35-72e8-4f8d-9d4b-03747a3f11b4","en"
"55ca2607-cbfb-4483-8572-4aeae520716b","en"
"08895a3c-1964-42fd-a00f-ae4c536de327","ru"
"a7fa4933-dc6b-4163-b99d-308f7337ec7c","en"
"42e24d48-0850-4f50-9e52-cb4622b3079a","en"
"420e3542-21c3-4b2e-958e-88bc6e92d8d3","en"
"e0bfc24d-2e35-42f0-8f85-83c67cd005bf","tr"
"ea933f7b-b612-4935-b8a0-18d9a5480c44","en"
"23a68e16-e699-40c6-8dff-c1189b1eb4d5","en"
"f6fbb99d-8da0-4aca-9500-20d3b366ea25","en"
"ddb44a53-4321-48e9-b1f9-041dd4f828e0","en"
"a1f7e0d8-68c4-47ee-815e-0d5cda1884f8","fr"
"f58a58c1-24c7-46f6-8976-2bf102f4d135","ru"
"3e8d152b-6824-4766-939d-5f58fead6aff","en"
"09433586-a80f-4ecc-81d8-6132532c3f4f","es-la"
"a34cdb96-7e43-4c17-9286-7fab9efbe16b","it"
"f2c12397-b341-4f58-8368-80c20b56850d","en"
"e180a9e8-e75e-4812-b1a3-8a4a4d28a3cf","en"
"c2ce1d09-9dfd-45fa-9bb2-bf920446fc8e","en"
"ae1cfd80-04da-45d2-a852-ccf7a863653e","pt-br"
"8a88ad31-2840-4996-8b69-d80ed376ff20","en"
"38836847-ac21-4e0d-8f86-1952595d4727","id"
"6cb00a2d-599b-4965-861b-d95cbf3114bc","en"
"66909482-4df5-4049-a0a7-c2b7cbae3936","en"
"a0a270ce-40bc-449b-a47f-30a5329434fb","hu"
"2d2dda58-c758-438f-ab20-907c94194495","en"
"2756abe1-f77d-42ad-91ef-63e67a5015f7","it"
"d3315c5a-6460-47fc-9bd2-756034663893","pt-br"
"7ff30402-6d9f-4e52-ad1e-57af837214e0","ru"
"3fbce7cb-7bc8-4864-af84-e5ad287fe0f9","es-la"
"dc82f32b-7fba-4983-93cf-ffb03ea1a6ae","fr"
"ca405bd3-ea25-46f0-95e0-e1a0a995d6d1","en"
"81968815-6508-442a-a368-bcf69dd36601","en"
"f9f6d75f-e760-49ea-8a45-182ad1b1257e","en"
"6af811ae-166d-4e3d-9042-3c5b0cbc50b0","en"
"6af811ae-166d-4e3d-9042-3c5b0cbc50b0","id"
"18586d5c-ebf4-4432-96ae-60e94b299c5b","en"
"e2ffaa79-1bef-4b7d-b382-a2b98221a310","en"
"6d4f57d3-a578-4a6c-bf06-d2fc07a7e3dd","en"
"7e0a36f1-007c-425d-953a-4ecee9c66686","pt-br"
"d03e63ca-6e40-4444-8207-d52c99894353","it"
"3ddb5bfc-a5a0-47ae-9514-65dcc0f64fbb","en"
"28a178a3-bac4-403b-b5f0-f6db6f8a08e5","en"
"526427ca-5f7e-435f-bd23-7cf959e89bc8","pt-br"
"53daff18-bba3-485d-b4a8-1f30f1e845a7","en"
"a5d4fbc3-7bdb-429d-933c-a731377762a1","pt-br"
"c3f924ea-d54f-4382-a67a-696145083b92","en"
"17718deb-0209-48d3-85d4-f161bab0d311","pl"
"f9152f9e-91f7-4f42-a434-36f9baa175ff","en"
